time;temp;rh;wd;ws;rain;pm10
2020-03-19 03:00;4.356666667;73.11;267;0.345;0;81.0136
2020-03-19 04:00;3.938333333;73.62333333;245;0.383333333;0;96.3289
2020-03-19 05:00;3.953333333;73.41;262;0.596666667;0;89.9414
2020-03-19 06:00;5.828333333;68.28666667;273;0.591666667;0;93.5951
2020-03-19 07:00;9.91;55.17666667;210;0.72;0;113.363
2020-03-19 08:00;13.71166667;44.90833333;253;1.753333333;0;51.5261
2020-03-19 09:00;15.80666667;39.53166667;287;2.46;0;35.5199
2020-03-19 10:00;16.95666667;36.68333333;277;2.788333333;0;33.4427
2020-03-19 11:00;17.85333333;35.12;269;3.226666667;0;25.0655
2020-03-19 12:00;18.53333333;32.80333333;278;3.735;0;25.3592
2020-03-19 13:00;18.65833333;33.18;277;2.986666667;0;28.7575
2020-03-19 14:00;18.72333333;32.34333333;309;3.593333333;0;25.2187
2020-03-19 15:00;18.37;33.17333333;326;2.43;0;47.314
2020-03-19 16:00;17.085;38.20666667;358;1.625;0;46.1518
2020-03-19 17:00;15.57166667;44.28166667;7;1.568333333;0;34.4729
2020-03-19 18:00;14.2;47.24166667;26;1.186666667;0;42.2729
2020-03-19 19:00;13.67833333;48.23666667;321;0.618333333;0;44.5688
2020-03-19 20:00;12.92666667;50.33333333;315;0.565;0;63.92
2020-03-19 21:00;12.56;51.635;310;0.563333333;0;67.0923
2020-03-19 22:00;11.97;54.67666667;295;0.361666667;0;76.0101
2020-03-19 23:00;11.55833333;56.19833333;272;0.381666667;0;65.6388
2020-03-20 00:00;11.54666667;54.70333333;352;0.693333333;0;67.6376
2020-03-20 01:00;11.39333333;54.84666667;50;1.241666667;0;34.1332
2020-03-20 02:00;10.96333333;56.92833333;61;0.981666667;0;32.5168
2020-03-20 03:00;10.69166667;58.51333333;42;1.188333333;0;44.5544
2020-03-20 04:00;10.17333333;61.31;44;1.826666667;0;47.2109
2020-03-20 05:00;10.02666667;62.52333333;61;1.288333333;0;57.1946
2020-03-20 06:00;10.19333333;62.38833333;61;1.24;0;52.1745
2020-03-20 07:00;10.47666667;61.895;69;1.586666667;0;57.1525
2020-03-20 08:00;11.075;60.405;83;1.415;0;60.3449
2020-03-20 09:00;11.94;57.19;72;1.255;0;62.5101
2020-03-20 10:00;13.34;51.59666667;114;0.85;0;63.0533
2020-03-20 11:00;14.13666667;47.14333333;156;1.196666667;0;59.6977
2020-03-20 12:00;14.51;45.76;177;0.978333333;0;42.0842
2020-03-20 13:00;14.78333333;40.89833333;129;1.356666667;0;42.3151
2020-03-20 14:00;14.90333333;38.31;144;1.036666667;0;31.587
2020-03-20 15:00;15.01833333;39.63166667;114;0.696666667;0;27.9512
